,pmid,text,sentence,subtag,Primary population,Age,Location,Gender,Condition/characteristic,Objective,M.V.,Results relevant to this particular O-tag
0,32306492,in-hospital mortality,Then the in-hospital mortality between two groups were compared to assess the predictive value of D-dimer level .,None,343 adult patients in China,,China,,confirmed Covid-19,D-dimer levels could predict in-hospital mortality,, in-hospital mortality between two groups with different D-dimer cutoff values
1,32306492,in-hospital mortality,The optimum cutoff value of D-dimer to predict in-hospital mortality was 2.0 microg/ml with a sensitivity of 92.3 % and a specificity of 83.3 % .,None,344 adult patients in China,,China,,confirmed Covid-20,D-dimer levels could predict in-hospital mortality,,The optimum cutoff value of D-dimer to predict in-hospital mortality was 2.0 microg/ml 
2,32324209,in-hospital mortality,The in-hospital mortality in the patients with hypertension was 21.3 % .,None,1178 patients with COVID-19,median age of 55.5 years,China,545 (46.3%) were men,hypertension,association between ACEIs/ARBs and severity of illness and mortality in patients with hypertension hospitalized for COVID-19 infection,,ACEIs/ARBs are not associated with the severity or mortality of COVID-19 in  hypertension patients. The in-hospital mortality in the patients with hypertension was 21.3%. 
3,32376101,in-hospital mortality,"In this cohort of patients with COVID-19 , hypoxemia was independently associated with in-hospital mortality .",None,140 patients with moderate to critical COVID-19,median age of 60 years,China,72 (51.4%) were men,pneumonia,in-hospital death in patients with coronavirus disease 2019 (COVID-19)-associated pneumonia,,hypoxemia was independently associated with in-hospital mortality
4,32376101,in-hospital mortality,Oxygen saturation ( SpO2 ) and other measures were tested as predictors of in-hospital mortality in survival analysis .,None,,,,,,myocardial injury in patients with severe COVID-19,,
5,32391877,in-hospital mortality,The area under the receiver operating characteristic curve of initial cardiac troponin I ( cTnI ) for predicting in-hospital mortality was 0.92 [ 95 % confidence interval ( CI ),None,671 eligible hospitalized patients,median age of 63 years,China,,myocardial injury,clinical significance of myocardial injury in patients with severe coronavirus disease 2019,,"in-hospital death among patients with severe COVID-19 can be predicted by markers of myocardial injury, and was significantly associated with senior age, inflammatory response, and cardiovascular comorbidities"
6,32392282,in-hospital mortality,Main Outcomes and Measures : Primary outcome was in-hospital mortality .,None,1438 hospitalized patients,"median age, 63 years",New York,858 [59.7%] male,,"use hydroxychloroquine, with or without azithromycin, and clinical outcomes among hospital inpatients with COVID-19",in-hospital mortality,"treatment with hydroxychloroquine, azithromycin, or both, compared with neither treatment, was not significantly associated with differences in in-hospital mortality"
7,32392282,in-hospital mortality,"Overall in-hospital mortality was 20.3 % ( 95 % CI , 18.2 % -22.4 % ) .",None,,,,,,,,
8,32392282,in-hospital mortality,significantly associated with differences in in-hospital mortality .,None,,,,,,,,
9,32395474,in-hospital mortality,"There was no significant difference in clinical severity , clinical course and in-hospital mortality between Group A and Group B. Serum cardiac troponin I ( cTnI ) ( P=0.03 )",None,50 hospitalized hypertension patients,52.65+/-13.12 and 67.77+/-12.84 years,China,27 male,hypertension ,whether renin-angiotensin system (RAS) blockers-ACEIs/ARBs may increase the severity of COVID-19,,ACEIs/ARBs may have few effects on increasing the clinical severe conditions of COVID-19
