,pmid,text,sentence,subtag
0,32034659,aged,"And among these cases , a total of 28 children aged from 1 month to 17 years have been reported in China .",age range,
1,32051073,age,"A total of 14 children ( 6 months to 14 years of age , including 5 cases in Wuhan ) have been confirmed to be infected with 2019-nCoV in China",age range,
2,32105632,age,"The mean age of the 52 patients was 59 7 ( SD 13 3 ) years , 35 ( 67 % ) were men , 21 ( 40 % )",age number,
3,32164090,aged,"Results : The patients consisted of 10 men and 20 women , including 22 doctors and 8 nurses , aged 21~59 years ( mean 35+-8 years ) .They were divided",age range,
4,32167524,age,"Results : Of 201 patients , the median age was 51 years ( interquartile range , 43-60 years ) , and 128 ( 63.7 % ) patients were men .",age number,
5,32171190,age,"Results : The age of the 54 patients was 68.0 ( 59.8 , 74.3 ) years .",age number,
6,32173241,age,"Indeed , age and disease severity may be correlated with the outcomes of COVID-19 .",age concept,
7,32173725,age,"Compared with general COVID-19 patients ( 45.2 % ) , refractory patients had an older age , male sex , more underlying comorbidities , lower incidence of fever , higher",age range,
8,32176772,age,"The median age of 69 enrolled patients was 42.0 years ( IQR 35.0-62.0 ) , and 32 patients ( 46 % ) were men .",age number,
9,32198776,age,"The median age was 47 years ( interquartile range , 36-55 ) , and there was no significant gender difference ( 53.3 % men ) .",age number,
10,32219356,age,The mean ( SD ) age was 58.50 ( 14.66 ) years .,age number,
11,32219428,age,"Results : All 5 patients ( age range , 36-65 years ; 2 women ) were receiving mechanical ventilation at the time of treatment and all had received antiviral agents",age range,
12,32220033,age,"Our study showed that comorbidity , time from illness onset to antiviral treatment and age > =65 were three major risk factors for COVID-19 progression , whilst comorbidity and time",age range,
13,32220033,aged,"The proportion of patients aged over 65 years in the severe group was significantly higher than that of the mild group ( 59.04 % vs. 10.15 % , P <",age range,
14,32220276,age,Results : The median age of 7 patients was 59 years and 4 of them were men .,age number,
15,32221983,age,"Current research shows that the poor prognosis of patients with COVID-19 is related to factors such as sex ( male ) , age ( > 60 years ) , underlying",age range,
16,32223665,age,"The differences in age , sex , and last CT scores determined before discharge between the two groups were analyzed , and correlations of the time from symptom onset to",age concept,
17,32223665,age,difference in age and sex between the groups .,age concept,
18,32224151,age,Median ( interquartile range ) age was 65.0 ( 56.0-70.0 ) years .,age number,
19,32229705,aged,"infection because the infection rates , severity , and lethality are substantially higher in the population aged 60 and older .",age range,
20,32242738,aged,"Conclusions : In this depictive study of 85 fatal cases of COVID-19 , most cases were males aged over 50 years with noncommunicable chronic diseases .",age range,
21,32242738,age,"Measurements and Main Results : The median age of the patients was 65.8 years , and 72.9 % were male .",age number,
22,32245904,age,"of cancer , patients ' comorbidities , age and details of the treatment .",age concept,
23,32278670,age,Median [ interquartile range ( IQR ) ] age of patients was 63 [ 51-75 ] years .,age number,
24,32278764,age,"Older age , diabetes and other comorbidities are reported as significant predictors of morbidity and mortality .",old,
25,32301155,age,"Median age at diagnosis was 71.0 +- 12.8 years , and the median interval since transplantation was 9.3 years .",age number,
26,32304772,age,"Multivariate Cox regression analysis showed that age > = 75 years ( hazard ratio [ HR ] , 7.86 ; 95 % CI , 2.44-25.35 ) , age between 65",age range,
