,pmid,text,sentence,subtag
0,32105632,mechanical ventilation,"( 26 [ 81 % ] patients vs 9 [ 45 % ] patients ) , and more likely to receive mechanical ventilation ( 30 [ 94 % ] patients",None
1,32105632,mechanical ventilation,37 ( 71 % ) patients required mechanical ventilation .,None
2,32171866,mechanical ventilation,"The Lopinavir and Ritonavir Tablets , Chinese medicine , oxygen therapy , and mechanical ventilation were statistically different in the elderly group and the young and middle-aged group , and",None
3,32173725,mechanical ventilation,"and adjunctive agents ( P < 0.05 ) when considering the factors of disease severity on admission , mechanical ventilation , and ICU transfer .",None
4,32219356,mechanical ventilation,% ] ) and mechanical ventilation ( 31 [ 59.6 % ] vs 14 [ 10.4 % ] ) were higher compared with patients with normal TnT levels .,None
5,32219428,mechanical ventilation,"ARDS resolved in 4 patients at 12 days after transfusion , and 3 patients were weaned from mechanical ventilation within 2 weeks of treatment .",None
6,32243266,mechanical ventilation,"40 , and 47 days support , respectively , but remain on mechanical ventilation .",None
7,32278670,mechanical ventilation,( 47 % ) underwent mechanical ventilation .,None
8,32278670,mechanical ventilation,"Seven-day mortality in SARS-CoV-2 requiring intubation was lower than 15 % , with 80 % of patients still requiring mechanical ventilation .",None
9,32317402,mechanical ventilation,"Although 27 % of our patients needed mechanical ventilation , over half were discharged home by the end of follow-up .",None
10,32320384,mechanical ventilation,"The patient treated with CP did not require mechanical ventilation 11 days after plasma transfusion , and was then transferred to a general ward .",None
11,32327757,mechanical ventilation,No patients required mechanical ventilation and all recovered .,None
12,32345579,mechanical ventilation,"Compared with patients with severe covid-19 without diabetes , patients with diabetes were older , susceptible to receiving mechanical ventilation and admission to ICU , and had higher mortality .",None
13,32349133,mechanical ventilation,needing mechanical ventilation or intensive care units treatment and for the elevated mortality risk .,None
14,32356628,mechanical ventilation,"result on Covid-19 testing as well as the likelihood of severe illness ( defined as intensive care , mechanical ventilation , or death ) among patients who tested positive .",None
15,32386514,mechanical ventilation,"Secondary outcomes will be admission to intensive care , mechanical ventilation , renal replacement therapy , quality of life , and non-serious adverse events .",None
16,32402056,mechanical ventilation,"Twenty-two participants ( 79 % ) were admitted for treatment , and 7 ( 25 % ) required mechanical ventilation .",None
17,32405160,mechanical ventilation,"The respiratory function resulted improved in 64.8 % of the observations in tocilizumab patients who were still hospitalized , whereas 100 % of controls worsened and needed mechanical ventilation .",None
18,32406927,mechanical ventilation,ICU or no longer required mechanical ventilation .,None
19,32411313,mechanical ventilation,mechanical ventilation was prevented,None
20,32411566,mechanical ventilation,CCB patients were also significantly less likely to undergo intubation and mechanical ventilation .,None
21,32411566,mechanical ventilation,leading to intubation and mechanical ventilation .,None
22,32423250,mechanical ventilation,"intensive care unit admission , mechanical ventilation , and mortality .",None
23,32444366,mechanical ventilation,"Of 647 ( 23.6 % ) patients requiring mechanical ventilation , 391 ( 60.4 % ) died and 170 ( 26.2 % ) were extubated or discharged .",None
24,32444366,mechanical ventilation,"Outcomes were admission to hospital , critical illness ( intensive care , mechanical ventilation , discharge to hospice care , or death ) , and discharge to hospice care or",None
25,32444880,mechanical ventilation,Eighteen percent of patients were placed on mechanical ventilation and the overall mortality rate was 33 % .,None
26,32446795,mechanical ventilation,"mechanical ventilation , and death ( 11.1 % vs. 4.1 % ) .",None
27,32452888,mechanical ventilation,"Among 217 critically ill patients , mortality for those who required mechanical ventilation was 35.7 % ( 59/165 ) , with 4.8 % of patients ( 8/165 ) still on",None
28,32457048,mechanical ventilation,"with rheumatic disease required intensive care admission and mechanical ventilation more often ( 11 ( 48 % ) vs 7 ( 18 % ) , multivariable OR 3.11 ( 95",None
29,32457048,mechanical ventilation,Patients with rheumatic disease and COVID-19 infection were more likely to require mechanical ventilation but had similar clinical features and hospitalisation rates as those without rheumatic disease .,None
