,pmid,text,sentence,subtag
52,32311451,severe,"The infected patients presented with fever , respiratory symptoms , sometimes with digestive and other systemic manifestations , and some progressed with a severe acute respiratory syndrome or even death",
53,32312290,severe,"Transition from severe to moderate to mild ARDS , recovery , and death were estimated .",
54,32312863,severe,"With a median ( IQR ) follow-up time of 24.0 ( 17.5-30.0 ) days , progression occurred in 19.6 % moderate , 27.8 % severe and 66.7 % critical COVID-19",
55,32313822,severe,"severe pneumonia , ARDS , sepsis and septic shock .",
56,32314455,severe,"Two ( 7.4 % ) and four ( 14.3 % ) of the 27 non-diabetic ketotic patients developed severe acidosis and died , respectively , and one ( 25.0 %",
57,32315817,severe,"The percentage of critical cases in diabetes and hypertension was 44.5 % ( 95CI 27.0-61.9 % ) and 41.7 % ( 95CI 26.4-56.9 % ) , respectively .",
58,32315817,severe,The case severe rate and mortality is lower than that of SARS and MERS .,
59,32315817,severe,The case severe rate and mortality is lower than that of SARS and MERS .,
60,32316063,severe,"In conclusion , COVID-19 patients with acute respiratory failure present a severe hypercoagulability rather than consumptive coagulopathy .",
61,32317180,severe,"Immunosuppressed transplant recipients with coronavirus disease 2019 infection had more severe pneumonia , but most of them still achieved a good prognosis after appropriate treatment .",
62,32317180,severe,Immunosuppressed renal transplant recipients with coronavirus disease 2019 infection had more severe pneumonia than the general population .,
63,32317180,severe,The severity of COVID-19 pneumonia was greater in the transplant recipients than in the control group ( five severe/three critical cases vs one severe case ) .,
64,32318665,severe,SARS-CoV-2 caused more severe interstitial pneumonia in old monkeys than that in young monkeys .,
65,32319118,severe,There is evidence that older age and several comorbidities can affect the risk to develop severe pneumonia and possibly the need of mechanic ventilation in subjects infected with SARS-CoV-2 .,
66,32319442,severe,"On February 21st , 2020 the first case of severe acute respiratory syndrome due to the coronavirus 2 ( SARS-CoV-2 ) causing the CoViD-19 disease , was identified in Italy",
67,32320677,severe,describe two main features preceding severe respiratory failure associated with COVID-19 : the first is macrophage activation syndrome ; the second is defective antigen-presentation driven by interleukin-6 .,
68,32321116,severe,"An extensive review of the medical literature on COVID-19 was performed , mainly focusing on the critical care of pediatric patients , considering expert opinions and recent reports related to",
69,32324209,severe,The percentage of patients with hypertension taking ACEIs/ARBs did not differ between those with severe and nonsevere infections ( 32.9 % vs 30.7 % ; P = .65 ) nor,
70,32325129,severe,One 2019-nCoV pneumonia child who was with an obvious increase of IL-10 developed severe pneumonia .,
71,32329978,severe,"Multivariable regress ion showed increasing odds of severe COVID-19 associated with higher SOFA score ( odds ratio [ OR ] , 2.45 ; 95 % CI , 1.302-4.608 ; P",
72,32329978,severe,OBJECTIVES : The aim of the study was to identify the clinical characteristics and risk factors associated with severe incidence of SARS -CoV-2 infection .,
73,32329978,severe,"Twenty-five patients ( 23.1 % ) developed severe disease , and of those 12 patients ( 48 % ) died .",
74,32330287,severe,3 ( 0.8 % ) critical .,
75,32330343,severe,"Sixteen patients died ( 18 % overall , 24 % of hospitalized , 52 % of ICU ) and 37 ( 54 % ) were discharged .",
76,32330343,severe,"In this initial cohort , transplant recipients with COVID-19 appear to have more severe outcomes , although testing limitations likely led to undercounting of mild/asymptomatic cases .",
