,pmid,text,sentence,subtag
0,32306492,in-hospital mortality,Then the in-hospital mortality between two groups were compared to assess the predictive value of D-dimer level .,None
1,32306492,in-hospital mortality,The optimum cutoff value of D-dimer to predict in-hospital mortality was 2.0 microg/ml with a sensitivity of 92.3 % and a specificity of 83.3 % .,None
2,32324209,in-hospital mortality,The in-hospital mortality in the patients with hypertension was 21.3 % .,None
3,32376101,in-hospital mortality,"In this cohort of patients with COVID-19 , hypoxemia was independently associated with in-hospital mortality .",None
4,32376101,in-hospital mortality,Oxygen saturation ( SpO2 ) and other measures were tested as predictors of in-hospital mortality in survival analysis .,None
5,32391877,in-hospital mortality,The area under the receiver operating characteristic curve of initial cardiac troponin I ( cTnI ) for predicting in-hospital mortality was 0.92 [ 95 % confidence interval ( CI ),None
6,32392282,in-hospital mortality,Main Outcomes and Measures : Primary outcome was in-hospital mortality .,None
7,32392282,in-hospital mortality,"Overall in-hospital mortality was 20.3 % ( 95 % CI , 18.2 % -22.4 % ) .",None
8,32392282,in-hospital mortality,significantly associated with differences in in-hospital mortality .,None
9,32395474,in-hospital mortality,"There was no significant difference in clinical severity , clinical course and in-hospital mortality between Group A and Group B. Serum cardiac troponin I ( cTnI ) ( P=0.03 )",None
10,32409504,in-hospital mortality,We aimed to describe the characteristics and outcomes and to analyze the risk factors for in-hospital mortality of COVID-19 patients with diabetes .,None
11,32422233,in-hospital mortality,"In this cohort of hospitalized patients with COVID-19 in a minority-predominant population , severe obesity , increasing age , and male sex were independently associated with higher in-hospital mortality and",None
12,32422233,in-hospital mortality,"Severe obesity , male sex , and increasing age were found to be independently associated with higher in-hospital mortality .",None
13,32422233,in-hospital mortality,The primary endpoint was in-hospital mortality .,None
14,32436994,in-hospital mortality,Primary endpoint was in-hospital mortality .,None
15,32437939,in-hospital mortality,"In the multivariable logistic regression model , only Brixia score , patient age , and conditions that induced immunosuppression were the significant predictive factors for in-hospital mortality .",None
16,32437939,in-hospital mortality,These independent variables were analyzed using a multivariable logistic regression model to extract the predictive factors for in-hospital mortality .,None
17,32444493,in-hospital mortality,"CONCLUSIONS : Patients with COVID-19 admitted with neurologic disease , including stroke , have a significantly higher in-hospital mortality and incident delirium and higher disability than patients without COVID-19 .",None
18,32446312,in-hospital mortality,"However , in-hospital mortality was significantly lower in the metformin group ( 3/104 ( 2.9 % ) versus 22/179 ( 12.3 % ) , P = 0.01 ) .",None
19,32450107,in-hospital mortality,The main outcomes of interest were in-hospital mortality and the occurrence of de-novo ventricular arrhythmias ( non-sustained or sustained ventricular tachycardia or ventricular fibrillation ) .,None
20,32458459,in-hospital mortality,These results suggest that the NLR at hospital admission is associated with in-hospital mortality among patients with COVID-19 .,None
21,32459916,in-hospital mortality,"In adjusted time-to-event analyses , variables that were associated with higher in-hospital mortality were increasing age and presentation with an elevated respiratory rate ; elevated levels of venous lactate ,",None
22,32459916,in-hospital mortality,"Black race was not associated with higher in-hospital mortality than white race , after adjustment for differences in sociodemographic and clinical characteristics on admission .",None
23,32469464,in-hospital mortality,"The major outcomes included in-hospital mortality , intensive care unit ( ICU ) admission , and invasive mechanical ventilation ( IMV ) .",None
24,32474087,in-hospital mortality,", as disease clinical presentation , or in-hospital mortality .",None
25,32484975,in-hospital mortality,"In this study , a meta-analysis was performed to clarify the association between myocardial injury assessed by hs-cTn levels and in-hospital mortality in patients with COVID-19 .",None
26,32484975,in-hospital mortality,"Elevated hs-cTn levels were significantly associated with an increase in in-hospital mortality ( pooled odds ratio , 22.7 ; 95 % confidence interval , 13.6-38.1 ; P < 0.001 )",None
27,32498135,in-hospital mortality,Advanced age and an increasing number of comorbidities are independent predictors of in-hospital mortality for COVID-19 patients .,None
28,32500700,in-hospital mortality,"By multivariable analysis , in-hospital mortality was higher in those with oxygen saturation below 88 % on admission and a higher number of lung lobes involved with a diffuse parenchymal",None
29,32500700,in-hospital mortality,"RESULTS : By univariable analysis , in-hospital mortality was higher in patients with lower oxygen saturation on admission ( below 88 % ) , higher CT scores , and a",None
