,pmid,topic
2,32532524,Treatment;Mechanism
7,32533443,Treatment;Prevention
8,32532069,Treatment
10,32534130,Treatment
23,32534186,Diagnosis;Treatment
25,32533585,Diagnosis;Treatment
26,32534336,Treatment;Mechanism
28,32532939,Treatment
31,32532753,Prevention;Diagnosis;Treatment
33,32533795,Treatment
35,32533455,Treatment
39,32534467,Treatment;Mechanism
41,32532936,Diagnosis;Treatment
43,32532691,Treatment
46,32534337,Treatment;Mechanism
50,32532449,Mechanism;Treatment
54,32532944,Diagnosis;Treatment
61,32533777,Treatment;Diagnosis
62,32532764,Treatment;Prevention
73,32533824,Prevention;Treatment
75,32533592,Treatment
80,32533109,Treatment
81,32532353,Treatment
83,32532623,Treatment;Diagnosis
85,32532758,Mechanism;Treatment
89,32532804,Treatment
92,32532094,Treatment;Mechanism
94,32533197,Treatment
97,32532425,Treatment
104,32533111,Treatment;Mechanism
114,32532759,Treatment
115,32532620,Treatment
121,32534188,Treatment
124,32533125,Treatment
125,32534328,Mechanism;Treatment
126,32533508,Diagnosis;Treatment
127,32533062,Treatment;Mechanism
128,32533989,Treatment;Diagnosis;Prevention
129,32532932,Treatment
135,32532318,Treatment
144,32534175,Treatment;Diagnosis;Prevention
149,32534369,Treatment
155,32531955,Treatment
157,32533920,Treatment
160,32533669,Prevention;Treatment
161,32534226,Treatment;Mechanism
162,32532661,Prevention;Treatment
166,32534129,Treatment;Prevention
167,32533667,Prevention;Treatment
169,32534109,Treatment;Mechanism;Diagnosis
171,32534187,Treatment;Mechanism
175,32532085,Treatment;Mechanism
176,32532945,Treatment;Diagnosis
188,32533988,Treatment;Mechanism
192,32533292,Mechanism;Treatment
193,32533957,Treatment;Diagnosis
194,32533990,Treatment;Mechanism
196,32532461,Treatment
199,32534189,Treatment
201,32534341,Mechanism;Treatment
206,32534094,Treatment
214,32532959,Treatment;Mechanism
215,32533263,Treatment;Mechanism
223,32534340,Treatment;Mechanism
224,32533986,Treatment;Diagnosis
225,32532805,Mechanism;Treatment
228,32534451,Treatment;Mechanism
232,32533071,Mechanism;Treatment
233,32533673,Prevention;Treatment
237,32532356,Treatment
245,32518634,Treatment
249,32528136,Treatment;Mechanism
251,32531537,Treatment;Mechanism
253,32529517,Treatment;Mechanism;Diagnosis
259,32529774,Treatment;Diagnosis
261,32531806,Treatment;Diagnosis
270,32530870,Treatment;Mechanism
275,32527987,Treatment;Mechanism
280,32529822,Treatment
282,32527341,Diagnosis;Treatment
289,32527347,Treatment;Prevention
297,32527713,Treatment;Mechanism
